citation,artist
"Incompris mais comprend qu'on n'pourra le comprendre, insomnie récurrente, pense à c'que les gens pensent",Julien
"Voiture sur les réseaux t'es businessman, dans la vraie vie, c'est métro-bus-tram",Baltringue
"Plus dans le méli' que dans le mélo', sachant que Mélie, c'est le nom de sa go', qu'elle l'a mise en bouche, comme un marshmallow",N. J Respect R
"Vous les femmes, c’est toujours pareil, quand le drame s’abat, vous pleurez, vous les hommes, c’est toujours pareil, quand le drame s’abat, vous courez, c’pour ça qu'les relations s’arrêtent... j’ai tort, c’est ma faute",Silence
"J'pointe devant gros cul, tu pointes au chômage",Pinocchio
Qui m'f'ra oublier méchanceté d'ce monde ? Le diable et son fessier bien roulé,Δ. Dieu ne ment jamais
"J'sais pas c'que j'ferai si elle part, avant de voir mon premier gosse",Ι. Peur d'être père
"Afrique endettée, les crédits d'la liberté se paient à perpet', toujours autant d'amour malgré les pillages, la guerre et la mort",Même issue
"Sa puterie me parait si tendre, surpris, j'sais pas comment m'y prendre",Autotune
"Ce de quoi t’es fait, tu n'peux pas le fuir, les nuages n'écoutent pas la météo",Baltringue
"J'suis dans le mood de finir au Louvre, parce que quand je l'ouvre, j'peins avec les mots",N. J Respect R
Pas d'amitié entre justicier si j'étais Bruce j'aurai baisé Loïs,Jean Reno
"J'suis un poumon dans un fumoir, j'respire le bien mais il n'y a que du mal tout autour",Ζ. Kietu
"Plus b'soin de combler mes besoins, depuis qu'femme et enfant, j'entretiens",B. #QuedusaalVie
"Ils font bonhomme de neige, j'ai fait bonhomme de chemin",Γ. Mosaïque solitaire
"Ma douce me connait mieux qu'tout le monde, m'a soutenu dans moments de gloire et de peine",Ζ. Kietu
"J'connais ton futur, il ressemble à mon passé",Quedelavie
"Crucifiez-les tous comme Jésus, le Duc arrive à Nazareth. La France accepte les chèques, elle n'accepte pas les hassanets",Talion
"Gros, tu dis qu'elle est bonne, j'dis qu'elle est mineure, aïe aïe aïe",113
"On l'a fait sans autotune sur une prod de Twinsmatic, c'est ma manière romantique de dire que je n'avais pas mis de préservatif",Θ. Macarena
J't'invite à tout refaire comme les fesses de Kylie Jenner,Ε. Signaler
"Je sais c'que tu penses de nous quand tu dis que tu n'sais plus quoi penser de nous, je sais c'que tu veux vraiment quand tu dis que tu n'sais plus c'que tu veux vraiment, je sais qu'tu n'as plus le temps quand tu dis que tu penses qu'il te faut plus de temps",Feu de bois
"J'suis dev'nu riche, j'vais racheter ton âme au Diable",Dix leurres
"Le hashtag #Vie tient peut-être d'elle, de son cou pendu à la corde",Amnésie
"Aussi bizarre que cela puisse paraître, après l'avoir ken' j'voulais qu'elle disparaisse",Amnésie
"Y'a plus d'étoiles ce soir dans le ciel, le bruit des balles qui s'parlent entre elles, y'a mort d'homme car j'ai plus d'cœur, les fleurs fanent, y'a plus chrysanthèmes",Ipséité (Bonus)
"Je suis donc j'aurai, suite logique des auxiliaires",Γ. Mosaïque solitaire
"Trop jeune pour comprendre l'impact des mots, j'm'en fous de c'qu'elle veut tant que j'ai ce qu'il me faut",Amnésie
"Regarde au-d'ssus, il n'y a plus de nuages, la pluie ne risque pas de tomber.
Regarde mon cœur, il n'a plus de grillage, mais personne ne risque d'y entrer",Δ. Dieu ne ment jamais
"En indé', j'ai pas d'congés maladie, sur l'rrain-te comme Edinson Cavani. Ma simple présence vaut une Audemars, j'réalise mes rêves et mes cauchemars",Ipséité (Bonus)
"Crois pas qu'c'est simple, crois pas qu'c'est dur, crois juste en toi, crois pas les gens",60 années
"J'vois jamais d'courses de spermato, mais j'donne beaucoup de départs",Débrouillard
"La vérité est un noir désir car quand elle gifle, elle prend la vie. Mais c'est quoi la vie ? Si ce n'est la mort que l'on nous accorde pour être en vie. C'est tout ceux en qui nous croyons qui finissent par nous définir, le mensonge est un soulagement qui finit par nous désunir",Ipséité (Bonus)
"Tu parles de moi, crache dans mon dos, je parle de toi, crache dans ta bouche",Feu de bois
"Les hommes mentent mais pas la trique, viens, j'vais t'dire la vérité",SMOG
"Faut pas semer de doutes, y'a pas qu'toi sur ma route. Non j'veux pas d'sentiment, pour moi c'est trop la lose, j'deviens incontinent quand tu parles d'amour",Ε. Signaler
"Personne se connait mais tout l'monde prétend connaître l'autre, une erreur de la nature, à qui la faute ?",Julien
"J'crois que dans l'ensemble, c'est plus facile de vivre quand on se ment. Il y'a des gens comme moi qui n'savent plus trop ce qu'ils sont, qui s'posent la question : Mais qui suis-je vraiment quand je ne suis plus vraiment ?",Mais qui suis-je vraiment quand je ne suis plus vraiment ?~DamsoSource
"Tu fais le ouf mais tu connais rien, j'vais fermer ta grande bouche de collégien",BruxellesVie
" Oui, j't'ai trompé et cela par ta faute
M'a dit cette pute pour qui sentiments j'avais
M'a dit cette pute pour qui j'ai tant bavé
M'a dit cette pute pour qui j'n'ai fait que passer",Α. Nwaar Is The New Black
"J'élève la voix que sur Pro Tools, si tu m'saoules trop, on en restera là",Autotune
"23 ans aujourd'hui il y a 10 ans déjà, que j'prie pour que l'amnésie s'en prenne à moi",Amnésie
On passait du temps à essayer d'en passer,Feu de bois
"Le temps passe vite mais qu'on oublie rien de c'qu'on a raté, la vie ne fait que soixante années, pour profiter, il faut pécher",60 années
"J'tourne en rond, au rond-point Victoire, j'suis bien loin des vaincus",Λ. Lové
"J’suis un bandit car le non-dit, je dis, j’suis un bandit car je mendie le crime. J'ai une haine de peine de mort et de vie, j’meurs d’envie d’avoir besoin de rien",NMI
"Le silence est d'or donc chut, quand je t'encule ne crie pas",Débrouillard
Je s'rai ton paradis si l’enfer est l'autre,Feu de bois
"Blonde platine, elle fait sa Khaleesi, dragon dans la queue je l'encendre",Autotune
"Né dans les ronces, le cœur égratigné",Ζ. Kietu
"Donne-moi ton cœur et j’te donnerai le mien, sauf qu’il est tout noir et qu’il touche à sa fin",NMI
